,NAME,RANDOM SEED,TIME W/ CUTS,NODES W/ CUTS,TIME W/O CUTS,NODES W/O CUTS,GAP W/ CUTS,GAP W/O CUTS,INITIAL LP,PRESOLVING TIME,vars,bin_vars,int_vars,cont_vars,constr,linsetpart_constr,linsetpack_constr,linsetcov_constr,lincard_constr,lineqknap_constr,linbinpack_constr,linknaps_constr,linintknap_constr,linmixbin_constr,nonzeroes,obj_dyn,dynamism_mean,presol_vars,presol_int_vars,presol_constr
0,10teams.mps.gz,2,11.088517,30,12.212530000000001,276,0.0,0.0,20.0,0.062201,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
1,10teams.mps.gz,4,11.186637,30,12.444448,276,0.0,0.0,20.0,0.060087,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
2,10teams.mps.gz,8,11.044666000000001,30,12.331489,276,0.0,0.0,20.0,0.05878,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
3,10teams.mps.gz,16,10.835616,30,12.467186,276,0.0,0.0,20.0,0.059115999999999995,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
4,10teams.mps.gz,32,10.833424,30,12.477946000000001,276,0.0,0.0,20.0,0.058801,7.613324979540639,0.8888888888888888,0.0,0.1111111111111111,5.438079308923196,0.34782608695652173,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.02608695652173913,1.63347,0.0,7.3777589082278725,0.0,5.3471075307174685
5,22433.mps.gz,2,2.532436,1,0.651876,5,0.0,0.0,21240.526169999997,0.028258999999999996,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
6,22433.mps.gz,4,2.5316520000000002,1,0.648197,5,0.0,0.0,21240.526169999997,0.024628,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
7,22433.mps.gz,8,2.545642,1,0.6461020000000001,5,0.0,0.0,21240.526169999997,0.024753,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
8,22433.mps.gz,16,2.539917,1,0.650985,5,0.0,0.0,21240.526169999997,0.025064,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
9,22433.mps.gz,32,2.530001,1,0.655748,5,0.0,0.0,21240.526169999997,0.024624,6.061456918928017,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928017,0.0,5.288267030694535
10,23588.mps.gz,2,5.59196,576,2.4070419999999997,981,0.0,0.0,7649.866134000001,0.035477999999999996,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.026682599999999997,5.908082938168931,0.0,4.919980925828125
11,23588.mps.gz,4,5.505717,576,2.4018919999999997,981,0.0,0.0,7649.866134000001,0.031816000000000004,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.026682599999999997,5.908082938168931,0.0,4.919980925828125
12,23588.mps.gz,8,5.447639,576,2.416476,981,0.0,0.0,7649.866134000001,0.030914999999999998,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.026682599999999997,5.908082938168931,0.0,4.919980925828125
13,23588.mps.gz,16,5.5125,576,2.380748,981,0.0,0.0,7649.866134000001,0.030461000000000002,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.026682599999999997,5.908082938168931,0.0,4.919980925828125
14,23588.mps.gz,32,5.579035,576,2.392584,981,0.0,0.0,7649.866134000001,0.03106,5.908082938168931,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.026682599999999997,5.908082938168931,0.0,4.919980925828125
