,NAME,TIME W/ CUTS,CUTS OFF_FIRST ROUND,PRESOLVING TIME W/ CUTS,PRESOLVING TIME W/O CUTS,TIME FIRST ROUND,NODES W/ CUTS,NODES W/O CUTS,INITIAL LP W/ CUTS,INITIAL LP W/O CUTS,FIRST ROUND CUT,vars,bin_vars,int_vars,cont_vars,constr,linsetpart_constr,linsetpack_constr,linsetcov_constr,lincard_constr,lineqknap_constr,linbinpack_constr,linknaps_constr,linintknap_constr,linmixbin_constr,nonzeroes,obj_dyn,dynamism_mean,presol_vars,presol_int_vars,presol_constr,Time Label
0,10teams.mps.gz,10.997772000000001,13.7368384,0.057449400000000005,0.059797,1.3501185999999998,30.0,276.0,20.0,20.0,917.0,7.613324979540638,0.888888888888889,0.0,0.11111111111111112,5.4380793089231965,0.3478260869565217,0.17391304347826084,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.026086956521739136,1.6334699999999998,0.0,7.3777589082278725,0.0,5.3471075307174685,1
1,22433.mps.gz,2.5359296000000002,0.8234644,0.0460822,0.025465599999999998,0.1728828,1.0,5.0,21240.526169999997,21240.52617,21278.0,6.061456918928018,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928018,0.0,5.288267030694535,0
2,23588.mps.gz,5.5273702,2.540436,0.027811999999999996,0.031946,0.14068759999999997,576.0,981.0,7649.866134000001,7649.866134000001,7660.0,5.908082938168932,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.0266826,5.908082938168932,0.0,4.919980925828125,0
3,30_70_45_05_100.mps.gz,282.653795,258.6474692,1.9865555999999998,1.6251839999999997,18.5676868,46.0,201.0,-5336.0,-5336.0,8.5,9.28470545393149,0.9999071667285555,0.0,9.28332714444857e-05,9.396819938918801,0.0,0.0,0.004066390041493776,0.0,0.0,0.0,0.0,0.0,0.14962655601659752,0.00035352912807601696,3.7288399999999995,0.0,9.284334051884509,0.0,9.396653950039674,0
4,30_70_45_095_100.mps.gz,743.9979688,75.2331896,1.994498,2.1436646,19.518728,201.0,1.0,-6132.0,-6132.0,3.0,9.303466349965667,0.9999088921282799,0.0,9.110787172011663e-05,9.435561763085357,0.0,0.0,0.0014370110170844642,0.0,0.0,0.0,0.0,0.0,0.16413859172920325,0.00033923607991587413,3.78902,0.0,9.303375237943373,0.0,9.435561763085357,0
5,30_70_45_095_98.mps.gz,76.55775359999998,40.224768399999995,1.6831654,2.1509236,13.8983642,1.0,1.0,-5967.0,-5967.0,11.5,9.304741047397666,0.9999090081892629,0.0,9.099181073703368e-05,9.431161227920748,0.0,0.0,0.0015235346002726324,0.0,0.0,0.0,0.0,0.0,0.16053243524977948,0.00033845217902804753,3.77706,0.0,9.303648549109834,0.0,9.430359045942867,0
6,30n20b8.mps.gz,152.4309638,167.19471579999998,17.765166,18.5365874,19.472141200000003,1617.0,13632.0,107.09839099999999,107.09839100000002,121.7659902,9.819018395909678,0.996626768226333,0.0033732317736670293,0.0,6.356107660695892,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010362448615645023,0.29243,0.5955050000000001,8.991313336173812,0.0002489729864309722,6.1964441277945195,1
7,CMS750_4.mps.gz,18000.492353999998,15887.4238206,3.645453,4.177944999999999,4.0366726,1.0,155687.0,250.0,250.0,250.0,9.367087677650707,0.6152004787552364,0.0,0.3847995212447636,9.703877405604633,0.0,0.0,0.14883096270068982,0.0,0.0,0.0,0.0,0.0,0.3935046700445638,0.00023434757143962005,0.0,0.565802,9.36700218198956,0.0,9.70381635740706,0
8,Test3.mps.gz,7.7357428,21.759134,1.6977346,2.2702042000000002,3.4921189999999998,1.0,426.0,2241736.0,2241736.0,2671192.2169999997,11.187403059535267,0.458948971820259,0.0,0.541051028179741,10.833286634435076,0.003393843725335438,0.0006511444356748224,0.0,0.0,0.0,0.0,0.0014009471191791633,0.0,0.07434885556432518,0.00016882275319997546,0.0,0.387977,8.93642970360832,0.0,8.248267447446901,1
9,ab51-40-100.mps.gz,717.3649144,1387.3407058,5.1612662,5.6114066000000005,0.0,1316.0,1000.0,-3998180000000.0,-3998180000000.0,0.0,9.447386828459383,1.0,0.0,0.0,9.383705270727246,0.0,0.010426301185571344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048257382435858473,6.61842,0.0,9.447386828459383,0.0,9.383452989684828,1
10,ab67-40-100.mps.gz,300.2086406,331.2493098,5.725705799999999,5.875944,15.087084199999998,73.0,75.0,-4706400000000.0,-4706400000000.0,-4706400000000.0,9.458137510729047,1.0,0.0,0.0,9.40029935589935,0.0,0.010089315249751905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004897345452994417,4.88588,0.0,9.458137510729047,0.0,9.400051227201992,1
11,ab69-40-100.mps.gz,376.76605600000005,422.5175934,5.328990999999999,5.886628600000001,0.0,89.0,109.0,-4636150000000.0,-4636150000000.0,0.0,9.443196602144186,1.0,0.0,0.0,9.385217621880901,0.0,0.01024263286038116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000493765351886684,4.67394,0.0,9.443196602144186,0.0,9.384965722135666,1
12,ab71-20-100.mps.gz,193.0383722,199.9631262,2.0224079999999995,2.1781472,4.7045072,699.0,706.0,-2595740000000.0,-2595740000000.0,-10885807587.0,8.808219665118408,1.0,0.0,0.0,8.760923376338836,0.0,0.01896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009832499996485131,4.67394,0.0,8.808070154764536,0.0,8.759982494977281,1
13,ab72-40-100.mps.gz,604.7663736000001,614.0146391999999,5.3445798,5.715687999999999,0.0,152.0,152.0,-4570070000000.0,-4570070000000.0,0.0,9.423029465386534,1.0,0.0,0.0,9.364862411412354,0.0,0.010367577756833177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004996665864793353,4.67394,0.0,9.423029465386534,0.0,9.364605330987613,1
14,acc-tight2.mps.gz,15.5857404,14.378535600000001,0.0888978,0.0925262,4.302248,7.0,80.0,0.0,0.0,0.0,7.390181428226429,1.0,0.0,0.0,7.832014180505469,0.1,0.06428571428571428,0.0,0.010714285714285714,0.0,0.0,0.0,0.0,0.0,0.003754409171075837,0.0,0.0,7.390181428226429,0.0,7.832014180505469,0
15,acc-tight4.mps.gz,217.15391600000004,131.199945,0.6921801999999999,0.7947476,9.0713502,1087.0,674.0,0.0,0.0,0.0,7.390181428226429,1.0,0.0,0.0,8.09712193091871,0.07945205479452055,0.04931506849315069,0.0027397260273972607,0.010958904109589041,0.0,0.0,0.0,0.0,0.0027397260273972607,0.0032081853543040758,0.0,0.0,7.390181428226429,0.0,8.09712193091871,0
16,acc-tight5.mps.gz,277.7351116,72.398134,1.5231154,1.5134146,4.0739584,733.0,713.0,0.0,0.0,0.0,7.199678345691173,1.0,0.0,0.0,8.023552392404348,0.07896461336828309,0.08125819134993446,0.00327653997378768,0.010812581913499346,0.0,0.0,0.0,0.0,0.002948885976408912,0.003947998202919375,0.0,0.0,7.196686570834349,0.0,8.021584533455107,0
17,aflow30a.mps.gz,29.557138999999996,45.8218434,0.0728856,0.08319499999999999,0.11187360000000002,1923.0,42445.0,-32161.0,-32161.0,1006.2110930000001,6.735780014242327,0.5,0.0,0.5,6.171700597410915,0.060542797494780795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060542797494780795,0.0051844946171507355,1.6575799999999998,1.46883,6.735780014242327,0.0,6.171700597410915,1
18,aflow40b.mps.gz,817.3055668000001,11032.9889074,0.3152788,0.2453738,0.4028914,34552.0,5221215.0,-66091.0,-66091.0,1007.5518900000001,7.911324018963353,0.5,0.0,0.5,7.273786317844895,0.02704576976421636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02704576976421636,0.001724297468895026,1.6989699999999999,1.59313,7.911324018963353,0.0,7.273786317844895,1
19,air03.mps.gz,2.5151131999999996,3.1831533999999997,0.6791200000000001,0.8838364000000001,1.3912084,1.0,1.0,-513715782.0,-513715782.0,338889.25,9.283311984432006,1.0,0.0,0.0,4.820281565605037,0.9838709677419356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06824363430264464,2.22436,0.0,9.283311984432006,0.0,4.820281565605037,1
20,air04.mps.gz,67.32292199999999,95.7741518,4.8586024,5.337845,9.7981576,134.0,499.0,-83210.0,-83210.0,55558.52413,9.094255892955381,1.0,0.0,0.0,6.7129562006770715,0.9975698663426489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009957025062254436,1.86236,0.0,9.094255892955381,0.0,6.7129562006770715,1
