instance_name,vars,bin_vars,int_vars,cont_vars,implint_vars,fixed_vars,tot_objnonzero,bin_objnonzero,int_objnonzero,cont_objnonzero,implint_objnonzero,fixed_objnonzero,per_finit_upper,per_finit_lower,ub_mean,ub_min,ub_max,ub_std,ub_median,ub_density,lb_mean,lb_min,lb_max,lb_std,lb_median,lb_density,boundrange_mean,boundrange_min,boundrange_max,boundrange_std,boundrange_median,obj_dyn,objcoeff_all_mean,objcoeff_all_min,objcoeff_all_max,objcoeff_all_std,objcoeff_all_median,objcoeff_bin_mean,objcoeff_bin_min,objcoeff_bin_max,objcoeff_bin_std,objcoeff_bin_median,objcoeff_int_mean,objcoeff_int_min,objcoeff_int_max,objcoeff_int_std,objcoeff_int_median,objcoeff_cont_mean,objcoeff_cont_min,objcoeff_cont_max,objcoeff_cont_std,objcoeff_cont_median,objcoeff_implint_mean,objcoeff_implint_min,objcoeff_implint_max,objcoeff_implint_std,objcoeff_implint_median,objcoeff_fixed_mean,objcoeff_fixed_min,objcoeff_fixed_max,objcoeff_fixed_std,objcoeff_fixed_median,constr,lintotal_constr,linempty_constr,linfree_constr,linsing_constr,linaggr_constr,linprec_constr,linvarbd_constr,linsetpart_constr,linsetpack_constr,linsetcov_constr,lincard_constr,lininvknap_constr,lineqknap_constr,linbinpack_constr,linknaps_constr,linintknap_constr,linmixbin_constr,lingen_constr,constr_mean,constr_min,constr_max,constr_std,constr_median,rh_constr_mean,rh_constr_min,rh_constr_max,rh_constr_std,rh_constr_median,rh_constr_density,lh_constr_mean,lh_constr_min,lh_constr_max,lh_constr_std,lh_constr_median,lh_constr_density,ranged_rows,rh_constr_ratio,lh_constr_ratio,nvar_all_mean,nvar_all_min,nvar_all_max,nvar_all_std,nvar_all_median,constr_coeff_mean_mean,constr_coeff_mean_min,constr_coeff_mean_max,constr_coeff_mean_std,constr_coeff_mean_median,constr_coeff_min_mean,constr_coeff_min_min,constr_coeff_min_max,constr_coeff_min_std,constr_coeff_min_median,constr_coeff_max_mean,constr_coeff_max_min,constr_coeff_max_max,constr_coeff_max_std,constr_coeff_max_median,constr_coeff_std_mean,constr_coeff_std_min,constr_coeff_std_max,constr_coeff_std_std,constr_coeff_std_median,constr_coeff_ratio_mean,constr_coeff_ratio_min,constr_coeff_ratio_max,constr_coeff_ratio_std,constr_coeff_ratio_median,constr_matrix_density,nonzeroes,indicator_constr,sos_constr,other_constr,clique_mean,clique_min,clique_max,clique_std,clique_median,dynamism_mean,dynamism_min,dynamism_max,dynamism_std,dynamism_median
miplib2010_50v-10/instances/50v-10.mps.gz,2013,1464,183,366,0,0,1647,1464,183,0,0,0,1,1,8425.45,1,46230,3.17758e+08,1,1,0,-0,-0,0,0,0,8425.45,1,46230,3.17758e+08,1,2.64082,111.336,0,721.62,17072.1,65.33,107.826,1.65,498.18,8673.73,75.75,362.09,18.99,721.62,30758.3,373.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,183,11.5622,0,1347,8107.82,0,11.5622,0,1347,8107.82,0,0.111588,53.88,0,1347,36061.5,12,0.52,0,1,0.214592,11.7811,8,24,5.94757,11,-0.215524,-0.274411,0,0.0127462,-0.274411,-1,-1,-1,0,-1,0.218228,0.00462963,1,0.167705,0.00462963,0.311851,0.101818,1.14286,0.16229,0.101818,-1,-1,-1,0,-1,0.00585252,2745,0,0,0,0,0,0,0,0,1.8335,0,2.33445,0.92246,2.33445
miplib2010_drayage/instances/drayage-50-4.mps.gz,9834,9769,0,65,0,0,6948,6948,0,0,0,0,1,1,166.475,1,41251,4.61718e+06,1,1,119.339,-0,34051,2.63294e+06,-0,0.00660972,47.1358,1,7200,322612,1,1.89001,1348.69,0,24964.7,2.27976e+06,1199.4,1357.67,0,24964.7,2.28274e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,2998,0,0,0,0,290,0,210,0,0,0,0,0,0,0,0,2498,0,1.56361,0,1117.85,531.929,0.348677,0.318803,-0,1,0.0738986,0.296128,0.864991,3.97444,8.11242e-05,1117.85,1496.33,1,1,0,0.716478,0.353569,10.0434,2,105,537.404,4,0.109639,0,1,0.0615275,0.0415275,-0.701538,-1,1,0.246884,-0.83389,1,1,1,0,1,0.65729,0,2,0.221226,0.562825,-0.701538,-1,1,0.246884,-0.83389,0.00102129,30110,0,0,0,0.000933325,0.000204729,0.0107483,6.47244e-06,0.000204729,3.47863,0,4.57408,2.51259,4.2171
miplib2010_drayage/instances/drayage-75-25.mps.gz,9899,9834,0,65,0,0,7100,7100,0,0,0,0,1,1,167.225,1,41181,4.60719e+06,1,1,121.381,-0,33981,2.65976e+06,-0,0.00656632,45.8435,1,7200,307890,1,1.88182,1363.6,0,24498.3,2.25499e+06,1199.4,1372.62,0,24498.3,2.25752e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110,3110,0,0,0,0,309,0,210,0,0,0,0,0,0,0,0,2591,0,1.08823,0,496.518,103.326,0.33847,0.307487,-0,1,0.0715855,0.282066,0.865477,2.82318,0.000640744,496.518,309.784,1,1,0,0.738585,0.328939,9.85531,2,105,525.473,4,0.10742,0,1,0.0594516,0.0424924,-0.70537,-1,1,0.238523,-0.83003,1,1,1,0,1,0.661528,0,2,0.224735,0.560576,-0.70537,-1,1,0.238523,-0.83003,0.000995586,30650,0,0,0,0.000898684,0.000203376,0.0106772,6.18673e-06,0.000203376,3.49316,0,4.55745,2.52706,4.2442
miplib2010_drayage/instances/drayage-25-26.mps.gz,9941,9876,0,65,0,0,6978,6978,0,0,0,0,1,1,164.957,1,40243,4.48714e+06,1,1,117.676,-0,33043,2.51303e+06,-0,0.00653858,47.2811,1,7200,327099,1,1.84715,1295.33,0,22618.8,2.07889e+06,1199.4,1303.85,0,22618.8,2.08146e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3167,3167,0,0,0,0,216,0,210,0,0,0,0,0,0,0,0,2741,0,2.63424,0,4999.73,7985.81,0.359901,0.332243,-0,1,0.0678359,0.313837,0.905594,7.15561,0.000284674,4999.73,23206.9,1,1,0,0.72245,0.343859,9.83518,2,105,519.532,4,0.109739,0,1,0.0581862,0.047606,-0.693662,-1,1,0.233892,-0.809576,1,1,1,0,1,0.613209,0,2,0.168107,0.548783,-0.693662,-1,1,0.233892,-0.809576,0.000989355,31148,0,0,0,0.000892005,0.000202511,0.0106318,6.12942e-06,0.000202511,3.62238,0,4.57924,2.12321,4.23517
miplib2010_drayage/instances/drayage-25-1.mps.gz,9908,9843,0,65,0,0,7091,7091,0,0,0,0,1,1,162.525,1,41490,4.3891e+06,1,1,115.498,-0,34290,2.45035e+06,-0,0.00656036,47.0261,1,7200,323015,1,1.85128,1376.51,0,22834.8,2.23746e+06,1199.4,1385.6,0,22834.8,2.23964e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3109,3109,0,0,0,0,288,0,210,0,0,0,0,0,0,0,0,2611,0,0.855282,0,110.443,13.4322,0.341541,0.315095,-0,1,0.0712716,0.294633,0.874455,2.0939,0.00905662,110.443,38.4241,1,1,0,0.737858,0.329688,9.87649,2,105,526.217,4,0.108783,0,1,0.0593735,0.0446525,-0.699959,-1,1,0.238513,-0.82139,1,1,1,0,1,0.649752,0,2,0.213446,0.555569,-0.699959,-1,1,0.238513,-0.82139,0.00099682,30706,0,0,0,0.000896541,0.00020319,0.0106675,6.16819e-06,0.00020319,3.52459,0,4.57372,2.44602,4.24527
miplib2010_drayage/instances/drayage-25-33.mps.gz,9867,9802,0,65,0,0,7019,7019,0,0,0,0,1,1,169.218,1,41039,4.74753e+06,1,1,121.454,-0,33839,2.69882e+06,-0,0.00658762,47.7639,1,7200,330489,1,1.86157,1317.27,0,23382.3,2.02513e+06,1199.4,1326,0,23382.3,2.02698e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,3072,0,0,0,0,227,0,210,0,0,0,0,0,0,0,0,2635,0,2.37209,0,2994.87,3207.36,0.365338,0.333945,-0,1,0.0712265,0.311304,0.894468,5.99359,0.000962387,2994.87,8695.81,1,1,0,0.700195,0.368164,9.96029,2,105,527.789,4,0.109726,0,1,0.0600625,0.0439042,-0.697814,-1,1,0.241775,-0.824383,1,1,1,0,1,0.624211,0,2,0.179282,0.557299,-0.697814,-1,1,0.241775,-0.824383,0.00100945,30598,0,0,0,0.000924641,0.00020404,0.0107121,6.39994e-06,0.00020404,3.57187,0,4.53828,2.21084,4.21813
miplib2010_drayage/instances/drayage-50-17.mps.gz,9874,9809,0,65,0,0,6963,6963,0,0,0,0,1,1,184.521,1,41052,5.50101e+06,1,1,138.444,-0,33852,3.31156e+06,-0,0.00658295,46.0763,1,7200,310853,1,1.9083,1305.25,0,26038.4,2.25906e+06,1199.4,1313.9,0,26038.4,2.26266e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3074,3074,0,0,0,0,367,0,210,0,0,0,0,0,0,0,0,2497,0,5.25577,0,13521,59488.1,0.322965,0.299126,-0,1,0.0725218,0.268185,0.840781,16.013,0.00802524,13521,186749,1,1,0,0.749837,0.318478,9.86988,2,105,529.345,4,0.10731,0,1,0.0601399,0.0415545,-0.707389,-1,1,0.240851,-0.833782,1,1,1,0,1,0.689606,0,2,0.259623,0.562762,-0.707389,-1,1,0.240851,-0.833782,0.000999582,30340,0,0,0,0.000910203,0.000203894,0.0107045,6.28123e-06,0.000203894,3.41168,0,4.62818,2.77093,4.24102
miplib2010_drayage/instances/drayage-0-26.mps.gz,9955,9890,0,65,0,0,6989,6989,0,0,0,0,1,1,164.727,1,40243,4.48087e+06,1,1,116.722,-0,33043,2.4749e+06,-0,0.00652938,48.005,1,7200,336213,1,1.84715,1295.2,0,22618.8,2.07703e+06,1199.4,1303.71,0,22618.8,2.07959e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,3190,0,0,0,0,202,0,210,0,0,0,0,0,0,0,0,2778,0,2.59967,0,4999.73,7928.18,0.36133,0.335314,-0,1,0.0666432,0.3172,0.91225,7.04104,0.000284674,4999.73,23017.2,1,1,0,0.72163,0.344201,9.81066,2,105,517.173,4,0.109866,0,1,0.0577393,0.0493926,-0.692196,-1,1,0.23203,-0.80243,1,1,1,0,1,0.605643,0,2,0.158654,0.544712,-0.692196,-1,1,0.23203,-0.80243,0.000985501,31296,0,0,0,0.000886916,0.000202224,0.0106168,6.08723e-06,0.000202224,3.64901,0,4.57924,2.05678,4.23753
miplib2010_drayage/instances/drayage-25-31.mps.gz,9930,9865,0,65,0,0,7096,7096,0,0,0,0,1,1,168.745,1,40651,4.69123e+06,1,1,121.178,-0,33451,2.65525e+06,-0,0.00654582,47.5672,1,7200,330222,1,1.84715,1321.84,0,22618.8,2.00948e+06,1199.4,1330.55,0,22618.8,2.01113e+06,1199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145,3145,0,0,0,0,222,0,210,0,0,0,0,0,0,0,0,2713,0,1.27983,0,422.525,109.338,0.363339,0.332638,-0,1,0.0677465,0.310509,0.902289,3.21267,0.000347051,422.525,311.956,1,1,0,0.722417,0.344356,9.86518,2,105,521.989,4,0.110155,0,1,0.0585371,0.0502295,-0.692924,-1,1,0.234951,-0.799082,1,1,1,0,1,0.616103,0,2,0.172809,0.542813,-0.692924,-1,1,0.234951,-0.799082,0.000993473,31026,0,0,0,0.000907607,0.000202737,0.0106437,6.25774e-06,0.000202737,3.59963,0,4.58971,2.15794,4.23046
miplib2010_drayage/instances/drayage-0-32.mps.gz,9886,9821,0,65,0,0,7031,7031,0,0,0,0,1,1,166.938,1,41274,4.62252e+06,1,1,118.872,-0,34074,2.58875e+06,-0,0.00657495,48.0661,1,7200,335190,1,1.96599,1285.61,0,29737.5,2.05462e+06,1193.4,1294.12,0,29737.5,2.05721e+06,1193.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3071,3071,0,0,0,0,203,0,210,0,0,0,0,0,0,0,0,2658,0,0.954146,0,139.153,17.3988,0.361884,0.337554,-0,1,0.0701256,0.314725,0.906236,2.15894,0.00118474,139.153,45.5785,1,1,0,0.704982,0.3634,9.99023,2,105,529.476,4,0.110779,0,1,0.0599643,0.046554,-0.693649,-1,1,0.241114,-0.813784,1,1,1,0,1,0.611497,0,2,0.164735,0.551192,-0.693649,-1,1,0.241114,-0.813784,0.00101054,30680,0,0,0,0.000918747,0.000203645,0.0106914,6.35079e-06,0.000203645,3.61288,0,4.65813,2.1142,4.21877
